Date,Close,High,Low,Open,Volume
2019-10-28,21.8473,22.7227,21.5067,21.836,283054500
2019-10-29,21.0813,21.62,20.9833,21.3327,190264500
2019-10-30,21.0007,21.2527,20.6647,20.8667,144627000
2019-10-31,20.9947,21.2667,20.8667,20.8733,76005000
2019-11-01,20.8873,21.0987,20.6533,21.088,95758500
2019-11-04,21.1647,21.4627,20.6173,20.9867,131805000
2019-11-05,21.148,21.5673,21.0747,21.308,104151000
2019-11-06,21.772,21.7813,20.9667,21.2,119113500
2019-11-07,22.3693,22.7667,21.868,21.9427,217009500
2019-11-08,22.476,22.4973,22.1667,22.3,91038000
2019-11-11,23.006,23.2793,22.8,22.93,149800500
2019-11-12,23.3287,23.358,22.936,23.1267,110391000
2019-11-13,23.074,23.7553,23.012,23.6667,126301500
2019-11-14,23.29,23.5893,22.8607,23.074,96973500
2019-11-15,23.478,23.52,23.224,23.376,72135000
2019-11-18,23.3327,23.5433,23.0733,23.528,66006000
2019-11-19,23.968,23.9993,23.1867,23.45,115872000
2019-11-20,23.4813,24.08,23.3047,24.0,100876500
2019-11-21,23.6553,24.056,23.6,23.634,91650000
2019-11-22,22.2027,22.7333,22.0,22.6773,253059000
2019-11-25,22.4227,22.9713,22.2973,22.9547,185092500
2019-11-26,21.928,22.3667,21.8067,22.3513,119211000
2019-11-27,22.086,22.262,21.9047,22.0747,83334000
2019-11-29,21.996,22.084,21.8333,22.074,36984000
2019-12-02,22.3247,22.4253,21.9127,21.96,91117500
2019-12-03,22.4133,22.5273,22.146,22.1747,98605500
2019-12-04,22.202,22.524,22.19,22.5167,82995000
2019-12-05,22.0247,22.2947,21.8167,22.1887,55869000
2019-12-06,22.3927,22.5907,22.318,22.3333,114186000
2019-12-09,22.6353,22.9633,22.3387,22.4393,135346500
2019-12-10,23.256,23.382,22.6207,22.664,132424500
2019-12-11,23.5133,23.8127,23.406,23.4587,103467000
2019-12-12,23.9787,24.1827,23.5487,23.6613,116458500
2019-12-13,23.8927,24.3473,23.6427,24.07,98563500
2019-12-16,25.4333,25.574,24.1667,24.17,272613000
2019-12-17,25.266,25.7,25.06,25.266,127452000
2019-12-18,26.21,26.348,25.372,25.3753,211815000
2019-12-19,26.936,27.1233,26.4333,26.488,271606500
2019-12-20,27.0393,27.5333,26.6793,27.3527,221290500
2019-12-23,27.948,28.134,27.3333,27.452,199794000
2019-12-24,28.35,28.3647,27.5127,27.8907,120820500
2019-12-26,28.7293,28.8987,28.4233,28.5273,159508500
2019-12-27,28.692,29.0207,28.4073,29.0,149185500
2019-12-30,27.6467,28.6,27.284,28.586,188796000
2019-12-31,27.8887,28.086,26.8053,27.0,154285500
2020-01-02,28.684,28.7133,28.114,28.3,142981500
2020-01-03,29.534,30.2667,29.128,29.3667,266677500
2020-01-06,30.1027,30.104,29.3333,29.3647,151995000
2020-01-07,31.2707,31.442,30.224,30.76,268231500
2020-01-08,32.8093,33.2327,31.2153,31.58,467164500
2020-01-09,32.0893,33.2533,31.5247,33.14,426606000
2020-01-10,31.8767,32.3293,31.58,32.1193,194392500
2020-01-13,34.9907,35.042,32.8,32.9,397764000
2020-01-14,35.8613,36.494,34.9933,36.284,434943000
2020-01-15,34.5667,35.856,34.4527,35.3173,260532000
2020-01-16,34.2327,34.2973,32.8113,32.9167,326050500
2020-01-17,34.0333,34.378,33.544,33.8407,204436500
2020-01-21,36.48,36.572,35.2273,35.35,267052500
2020-01-22,37.9707,39.6333,37.2733,38.126,470535000
2020-01-23,38.1467,38.8,37.04,37.6167,294765000
2020-01-24,37.6547,38.2573,36.9507,38.042,215304000
2020-01-27,37.2013,37.6293,35.952,36.1327,204121500
2020-01-28,37.7933,38.454,37.2053,37.8993,176827500
2020-01-29,38.7327,39.32,37.8287,38.3793,267022500
2020-01-30,42.7207,43.392,41.2,42.1613,435085500
2020-01-31,43.3713,43.5333,42.168,42.6667,235789500
2020-02-03,52.0,52.4093,44.9013,44.9127,705975000
2020-02-04,59.1373,64.5993,55.592,58.864,914082000
2020-02-05,48.98,56.3987,46.9407,54.884,726357000
2020-02-06,49.9307,53.0553,45.8,46.6613,598212000
2020-02-07,49.8713,51.3167,48.6667,48.7033,255952500
2020-02-10,51.4187,54.666,50.16,53.3333,370338000
2020-02-11,51.6253,52.234,50.5333,51.2527,175462500
2020-02-12,51.1527,52.65,50.8913,51.858,180337500
2020-02-13,53.6,54.5333,49.0,49.456,394339500
2020-02-14,53.3353,54.198,52.3667,52.4813,235405500
2020-02-18,57.2267,57.3333,55.4907,56.1067,245725500
2020-02-19,61.1613,62.9853,60.068,61.5667,381345000
2020-02-20,59.9607,60.8,57.3293,60.7967,264523500
2020-02-21,60.0667,60.8707,58.6967,60.4653,214722000
2020-02-24,55.586,57.5667,54.8133,55.9333,227883000
2020-02-25,53.3273,57.1067,52.4667,56.6,259357500
2020-02-26,51.92,54.2207,51.7407,52.1667,211282500
2020-02-27,45.2667,49.318,44.6,48.6667,364158000
2020-02-28,44.5327,46.0347,40.768,41.98,363343500
2020-03-02,49.5747,49.5793,45.778,47.4173,302925000
2020-03-03,49.7007,53.7987,47.7407,53.6667,386760000
2020-03-04,49.9667,51.1013,48.3153,50.9307,225735000
2020-03-05,48.3027,49.7167,47.8713,48.2513,162790500
2020-03-06,46.8987,47.1333,45.618,46.0,189943500
2020-03-09,40.5333,44.2,40.3333,40.3593,256105500
2020-03-10,43.022,44.5333,40.5333,43.962,233916000
2020-03-11,42.282,43.572,40.8667,42.68,199837500
2020-03-12,37.37,39.6333,36.4167,38.726,283636500
2020-03-13,36.4413,40.5047,33.4667,39.6667,339604500
2020-03-16,29.6713,32.9913,29.478,31.3,307342500
2020-03-17,28.68,31.4567,26.4,29.334,359919000
2020-03-18,24.0813,26.9907,23.3673,25.9333,356793000
2020-03-19,28.5093,30.1333,23.8973,24.98,452932500
2020-03-20,28.502,31.8,28.386,29.2133,424282500
2020-03-23,28.9527,29.4667,27.3667,28.9067,246817500
2020-03-24,33.6667,34.246,31.6,31.82,343428000
2020-03-25,35.95,37.1333,34.074,36.35,318340500
2020-03-26,35.2107,37.3333,34.15,36.4927,260710500
2020-03-27,34.2907,35.0533,32.9353,33.6667,215661000
2020-03-30,33.4753,34.4433,32.7487,34.0173,179971500
2020-03-31,34.9333,36.1973,33.1333,33.4167,266572500
2020-04-01,32.104,34.2633,31.6733,33.6,200298000
2020-04-02,30.298,32.9507,29.76,32.0687,297876000
2020-04-03,32.0007,34.366,31.226,33.9667,338431500
2020-04-06,34.416,34.7333,33.1973,34.08,223527000
2020-04-07,36.3633,37.6667,35.4893,36.3333,268797000
2020-04-08,36.5893,37.1473,35.5553,36.9467,189840000
2020-04-09,38.2,38.3453,37.1407,37.4727,204750000
2020-04-13,43.3967,43.4667,38.702,39.344,337131000
2020-04-14,47.326,49.4587,46.162,46.598,458647500
2020-04-15,48.6553,50.2087,47.3333,49.4667,353655000
2020-04-16,49.6807,50.63,47.1147,47.796,309868500
2020-04-17,50.2593,51.6633,49.844,51.4853,196923000
2020-04-20,49.7573,51.038,47.4807,48.8467,221199000
2020-04-21,45.7813,50.222,44.9193,48.6747,303136500
2020-04-22,48.8073,48.9333,45.914,46.932,212482500
2020-04-23,47.042,48.9333,46.8753,48.5067,198550500
2020-04-24,48.3433,48.7153,46.5453,47.3873,198180000
2020-04-27,53.25,53.2993,49.0,49.174,310221000
2020-04-28,51.2747,53.6667,50.446,53.0427,228330000
2020-04-29,53.3673,53.5467,52.2107,52.678,243240000
2020-04-30,52.1253,57.988,50.9,57.0127,427078500
2020-05-01,46.7547,51.518,45.536,50.3333,487977000
2020-05-04,50.746,50.8,46.5333,46.7333,288556500
2020-05-05,51.214,53.2613,50.812,52.6527,254875500
2020-05-06,52.172,52.6533,50.7407,51.7667,166848000
2020-05-07,52.0027,53.0933,51.49,51.814,172915500
2020-05-08,54.628,54.9333,52.4673,52.918,241297500
2020-05-11,54.086,54.9333,52.3333,52.7007,247794000
2020-05-12,53.9607,56.2193,53.8667,55.1333,238603500
2020-05-13,52.7307,55.0667,50.8867,54.722,285982500
2020-05-14,53.5553,53.5573,50.9333,52.0,205233000
2020-05-15,53.278,53.67,52.4367,52.69,157776000
2020-05-18,54.242,55.648,53.592,55.1853,174987000
2020-05-19,53.8673,54.8047,53.7387,54.3447,144547500
2020-05-20,54.3707,55.0667,54.12,54.7,109639500
2020-05-21,55.1733,55.5,53.0667,54.4,183819000
2020-05-22,54.4587,55.452,54.1333,54.8113,149812500
2020-05-26,54.5913,55.64,54.3807,55.6333,121345500
2020-05-27,54.682,55.1807,52.3333,54.724,173242500
2020-05-28,53.7207,54.9833,53.446,54.234,108834000
2020-05-29,55.6667,55.6667,53.614,53.9167,176467500
2020-06-01,59.8733,59.9333,56.94,57.2,224092500
2020-06-02,58.7707,60.5773,58.0667,59.6467,203484000
2020-06-03,58.864,59.8627,58.6733,59.208,119242500
2020-06-04,57.6253,59.7167,57.2293,59.3253,133315500
2020-06-05,59.044,59.1013,57.7467,58.5227,117178500
2020-06-08,63.328,63.3333,60.6107,61.2667,212620500
2020-06-09,62.7113,63.6293,61.5953,62.6673,170823000
2020-06-10,68.3367,68.4987,65.5,66.1253,278451000
2020-06-11,64.856,67.9307,64.8,66.0133,238747500
2020-06-12,62.352,65.8653,60.84,65.3333,251451000
2020-06-15,66.06,66.5893,60.5667,61.186,235458000
2020-06-16,65.4753,67.5253,64.1593,67.4567,210766500
2020-06-17,66.1193,67.0,65.5047,65.8473,148362000
2020-06-18,66.9307,67.9467,66.298,66.8667,146278500
2020-06-19,66.7267,67.7313,66.0893,67.5187,130195500
2020-06-22,66.288,67.2587,66.0013,66.6633,95436000
2020-06-23,66.7853,67.4667,66.2673,66.592,95479500
2020-06-24,64.0567,66.7253,63.5427,66.274,164394000
2020-06-25,65.732,65.732,62.4767,63.618,138817500
2020-06-26,63.9827,66.3333,63.658,66.3187,132823500
2020-06-29,67.29,67.3333,63.2347,64.6007,135396000
2020-06-30,71.9873,72.5127,66.9153,67.1,253777500
2020-07-01,74.642,75.6887,72.0333,72.2,199903500
2020-07-02,80.5773,81.8667,79.04,81.432,258751500
2020-07-06,91.4387,91.8527,84.4027,85.1127,308548500
2020-07-07,92.6573,95.3,89.114,93.6673,322345500
2020-07-08,91.0587,94.484,87.4227,93.6667,244669500
2020-07-09,92.952,93.904,90.0853,93.1327,175764000
2020-07-10,102.9767,103.2613,91.734,93.0667,350064000
2020-07-13,99.804,119.666,98.074,110.6,584781000
2020-07-14,101.12,106.0,95.4,103.7333,351271500
2020-07-15,103.0673,103.3333,97.1333,102.8667,245517000
2020-07-16,100.0427,102.114,97.7333,98.4773,214512000
